support_role,local_use,source_id,paper_title,object_type,object_name,short_claim_summary,canonical_status,version_preference_status,citation_pointer
Kernel target adequacy,kernel forcing for endpoint use,ERK20260527-New_erk_files_May_35B594-LEM-001,"Non-Degenerate Construction and the Kernel of Admissibility An Exhaustion Theorem for Standing, Reference, and Irreversibility",Lemma,Target adequacy forces the kernel roles,"Any target-adequate raw-sequence regime already requires the governance roles later named reference, standing, irreversibility, and admissibility.",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Non_Degenerate_Construction_and_the_Kernel_of_Admissibility.pdf, p. 7"
Kernel raw sequence,neutral adequacy precondition for non-degenerate endpoint acts,ERK20260527-New_erk_files_May_35B594-DEF-002,"Non-Degenerate Construction and the Kernel of Admissibility An Exhaustion Theorem for Standing, Reference, and Irreversibility",Definition,Kernel-neutral target adequacy,"A raw-sequence regime is target-adequate for the present inquiry iff some of its raw sequences are assessable under the following four requirements, stated without yet using the kernel as a definition of construction: (A1) Target determinacy: the sequence has a repeatable object of evaluation rather than merely a presentation-dependent trace. (A2) Step...",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Non_Degenerate_Construction_and_the_Kernel_of_Admissibility.pdf, p. 7"
Governed construction,endpoint use as governed construction,ERK20260527-New_erk_files_May_35B594-DEF-004,"Non-Degenerate Construction and the Kernel of Admissibility An Exhaustion Theorem for Standing, Reference, and Irreversibility",Definition,Governed construction and non-degenerate construction,"Let X be a target object on a fixed domain D. A governed construction of X, written Constr(X), is a raw step-sequence on D that preserves, at each step, determinate reference to X, standing of the step as an admissible construction step, and irreversibility of inadmissible steps. A governed construction is non-degenerate iff those three conditions hold...",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Non_Degenerate_Construction_and_the_Kernel_of_Admissibility.pdf, p. 8"
UEAP carrier adequacy,report-status and carrier adequacy gate,ERK20260527-New_erk_files_May_AF0C6B-CRT-001,Claim Standing and Legitimacy A Universal Audit Protocol for Laundering Exclusion and Reportable Output,Criterion,Carrier Adequacy Test,"A carrier CarrierD (c) is standing-bearing for claim c at status class σ only if it satisfies all six tests below. 1. Target alignment. The carrier supports the same target asserted by c, not a proxy target or nearby conclusion. 2. Role adequacy. The carrier is the right kind of support for σ: proof for proof-status, measurement ledger for...",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Claim_Standing_and_Legitimacy.pdf, p. 12"
UEAP laundering,blocks report promotion from support to endpoint standing,ERK20260527-New_erk_files_May_AF0C6B-DEF-004,Claim Standing and Legitimacy A Universal Audit Protocol for Laundering Exclusion and Reportable Output,Definition,Carrier,"The carrier of a claim is CarrierD (c),",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Claim_Standing_and_Legitimacy.pdf, p. 12"
ATS identity lock,same-zero/same-route identity under redescription,ERK20260527-New_erk_files_May_6DC183-LEM-003,"Anchor, Tensor, and Skin: A Fixed-Domain Decomposition Theorem for Admissible Description",Lemma,(Congruence; identity persistence is forced by stable,"If εb has stable identity fixation, then ∼ is a congruence for concatenation:",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Anchor__Tensor__and_Skin__A_Fixed_Domain_Decomposition_Theorem_for_Admissible_Description.pdf, p. 8"
ATS redescription lock,blocks treating skin changes as tensor content,ERK20260527-New_erk_files_May_6DC183-THM-028,"Anchor, Tensor, and Skin: A Fixed-Domain Decomposition Theorem for Admissible Description",Theorem,i,"shows this either (i) violates redescription neutrality (Level IV) or (ii) introduces an unwitnessed/new operator distinction (blocked by exhaustion), collapsing",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Anchor__Tensor__and_Skin__A_Fixed_Domain_Decomposition_Theorem_for_Admissible_Description.pdf, p. 35"
AMetric no selector,no endpoint-bearing selector or metric at boundary,ERK20260527-New_erk_files_May_41605D-THM-002,The AMetric Boundary as a Unique Regime-Invariant Constraint on Admissibility-Bearing Construction,Theorem,Admissibility constraint on no-selector/no-parameter boundary authority,"At the AMetric boundary, no boundary-authority attempt can be admissibility-bearing inside the fixed comparison class. Every such construction sequence terminates in exactly one of the following dispositions:",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_The_AMetric_Boundary_as_a_Unique_Regime_Invariant_Constraint_on_Admissibility_Bearing_Construction.pdf, p. 5"
AMetric boundary,prevents boundary operators from carrying unauthorized endpoint status,ERK20260527-New_erk_files_May_41605D-THM-023,The AMetric Boundary as a Unique Regime-Invariant Constraint on Admissibility-Bearing Construction,Theorem,Admissibility constraint on Operator undefinedness,Operators are undefined at the AMetric boundary.,Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_The_AMetric_Boundary_as_a_Unique_Regime_Invariant_Constraint_on_Admissibility_Bearing_Construction.pdf, p. 27"
No generators,blocks standing creation from failed or lower-status acts,ERK20260527-New_erk_files_May_EA512E-THM-010,Unus Solus Possibilis Est Corpus Closure and Uniqueness of the Admissible Interior,Theorem,no generators,✓,Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Unus_Solus_Possibilis_Est.pdf, p. 17"
