local_role,source_id,paper_title,object_type,object_name,short_claim_summary,canonical_status,version_preference_status,citation_pointer
kernel necessity,ERK20260527-New_erk_files_May_4C9E73-COR-001,"A Fixed-Domain Exhaustion Theorem Standing, Admissibility, and the Determination of Consequence under Typed Boundary Discipline",Corollary,“Tracked” boundary imports are scope changes,"Any proposal of the form “allow a new boundary primitive but track/localize/stresstest it” is, in the present calculus, a scope extension in the sense of Definition 1.2. Equivalently: there is no nontrivial weakening of AA6 that preserves fixed-scope exhaustion; the only admissible way to add boundary primitives is to declare S + ̸= S. Dependencies. AA6;...",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_A_Fixed_Domain_Exhaustion_Theorem.pdf, p. 13"
kernel necessity,ERK20260527-New_erk_files_May_C93F68-COR-001,"Structura Ex Necessitate Standardis Modelis A relative closure theorem for the Standard-Model bookkeeping interior under fixed load, fixed domain, and certificate-maximal same-domain transport",Corollary,Transport completeness is forced by “same-scope” assertions,"Let SA , SB be skins both used for scope S. If one asserts that SA and SB represent the same standing content for S (i.e. there exists a presentation X for which both factor as in (1)), then any admissible transport implementing that assertion must induce a bijection on standing quotients and is therefore transportcomplete for S (Definition 2.36)....",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Structura_Ex_Necessitate_Standardis_Modelis.pdf, p. 16"
kernel necessity,ERK20260527-New_erk_files_May_35B594-COR-002,"Non-Degenerate Construction and the Kernel of Admissibility An Exhaustion Theorem for Standing, Reference, and Irreversibility",Corollary,No non-degenerate regime below the kernel,No meaningful regime can both support non-degenerate construction in the sense of Definition 2.5 and generate any member of K from a strictly lower governance-free basis while remaining within that same fixed domain.,Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Non_Degenerate_Construction_and_the_Kernel_of_Admissibility.pdf, p. 16"
kernel necessity,ERK20260527-New_erk_files_May_C93F68-COR-006,"Structura Ex Necessitate Standardis Modelis A relative closure theorem for the Standard-Model bookkeeping interior under fixed load, fixed domain, and certificate-maximal same-domain transport",Corollary,Rephasing redundancy exhaustion,All rephasing freedom beyond the physical CP-odd quotient phases is redundancy. Any assertion of additional independent phases requires representational privilege or hidden structure and is therefore a standing failure (Definition 2.53).,Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Structura_Ex_Necessitate_Standardis_Modelis.pdf, p. 40"
kernel necessity,ERK20260527-New_erk_files_May_D2FE05-THM-011,"Constraint Architectures for Coherent Evaluability Quotient Interfaces, Kernel Instantiation, and Structural Persistence",Theorem,Quotient descent,Every licensed transition schema descends to the quotient transition relation TbQ . Every redescription-stable licensed transition schema descends further to a unique quotient map Tb satisfying π ◦ T = Tb ◦ π. Proof. The first claim is Lemma 5.6. The second claim is Corollary 5.7; the displayed factorization is the definition of Tb.,Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Constraint_Architectures_for_Coherent_Evaluability.pdf, p. 21"
kernel necessity,ERK20260527-New_erk_files_May_2490B6-COR-006,"Admissibility and the Common Structural Origin of Gauge, Constraint, and Quantum Structure",Corollary,Counterexample burden,"A genuine counterexample to the rigidity theorem must preserve the same regular-stratum theorem object while producing a same-scope physically relevant difference that does not realize any route in the finite family of Definition 32.2. By Theorem 32.4, no such counterexample exists.",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Admissibility_and_the_Common_Structura.pdf, p. 25"
kernel necessity,ERK20260527-New_erk_files_May_4C9E73-COR-005,"A Fixed-Domain Exhaustion Theorem Standing, Admissibility, and the Determination of Consequence under Typed Boundary Discipline",Corollary,Scheduler collapse (no fourth “meta-structural” role,). Any scheduler σ in the sense of Definition 11.1 is forced into the existing trichotomy:,Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_A_Fixed_Domain_Exhaustion_Theorem.pdf, p. 39"
kernel necessity,ERK20260527-New_erk_files_May_2490B6-COR-005,"Admissibility and the Common Structural Origin of Gauge, Constraint, and Quantum Structure",Corollary,No surviving genuine same-scope rival,"No genuine same-scope rival to the derived AER object survives on the fixed admissibility comparison class. Proof. By Theorem 32.4, every genuine same-scope rival has nonempty route image in the finite family of Definitions 32.2 and 32.3. By Theorem 32.7, no route in that family survives. Hence no genuine same-scope rival survives.",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Admissibility_and_the_Common_Structura.pdf, p. 24"
kernel necessity,ERK20260527-New_erk_files_May_2490B6-COR-014,"Admissibility and the Common Structural Origin of Gauge, Constraint, and Quantum Structure",Corollary,Global non-survival of quantum admissible rivals,"There exists no admissible quantum realization, anywhere in the admissibility-equivalence class fixed by Definition Q.1, that is both non-equivalent to the derived quantum theorem object and preserves the same Bell witness set together with the same measurement-record quotient.",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Admissibility_and_the_Common_Structura.pdf, p. 46"
kernel necessity,ERK20260527-New_erk_files_May_6F74B7-COR-002,Gauge-Coupling Parameters and Forced Uniqueness under Admissible Redescription,Corollary,Standing-bearing criterion is not protective,Definition 3.3 is not an ad hoc filter against gauge couplings. It records the minimal evaluability condition for any same-domain quantity claimed to carry standing: invariance under identity-preserving presentation change and tensor-level effect when varied. Proof. Theorem 3.6 forces the invariance clause. If a quantity is invariant but its variation...,Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Gauge_Coupling_Parameters_and_Forced_Uniqueness.pdf, p. 7"
