source_id,paper_title,object_type,object_name,short_claim_summary,AASC_family,AASC_subfamily,kernel_role,interface_role,closure_role,impossibility_role,licenses,forbids,version_preference_status
ERK20260527-New_erk_files_May_35B594-DEF-002,"Non-Degenerate Construction and the Kernel of Admissibility An Exhaustion Theorem for Standing, Reference, and Irreversibility",Definition,Kernel-neutral target adequacy,"A raw-sequence regime is target-adequate for the present inquiry iff some of its raw sequences are assessable under the following four requirements, stated without yet using the kernel as a definition of construction: (A1) Target determinacy: the sequence has a repeatable object of evaluation rather than merely a presentation-dependent trace. (A2) Step...",Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; gated admissibility evaluation; typed AASC construction under fixed scope,ungated scope transport or modality laundering,Preferred hardened version
ERK20260527-New_erk_files_May_35B594-LEM-001,"Non-Degenerate Construction and the Kernel of Admissibility An Exhaustion Theorem for Standing, Reference, and Irreversibility",Lemma,Target adequacy forces the kernel roles,"Any target-adequate raw-sequence regime already requires the governance roles later named reference, standing, irreversibility, and admissibility.",Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; typed AASC construction under fixed scope,"Do not use outside fixed scope, as a free generator, or as an unlicensed cross-arc transport.",Preferred hardened version
ERK20260527-New_erk_files_May_FBEDF2-THM-030,Admissible Construction and the Non-Instantiability of Gödel Architectures,Theorem,Non-degenerate construction forces the kernel,"If a meaningful regime admits construction-governed non-degenerate construction under admissibility-invariant use, then admissibility, standing, reference, and irreversibility are already in force in that regime.",Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.","Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.",kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; typed AASC construction under fixed scope,"primitive reification, compatibility-only promotion, or post-hoc repair",Preferred hardened version
ERK20260527-New_erk_files_May_C3E3B7-DEF-017,A Classification Theorem for Admissible Standard-Model Structures Uniqueness Under Standing-Preserving and Transport Constraints,Definition,AMetric Boundary for admissible bookkeeping,"The AMetric Boundary is the interface between pre-admissible construction activity and admissible standing-bearing construction. Before the boundary is crossed, there is no licensed metric, ordering, typicality measure, comparison class, selector, or identity carrier with standing authority. Crossing the boundary requires a standing quotient, invariant...",AMetric / interface / interior layer,"AMetric Boundary, bivalence, admissible interior, regime-invariant interface control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; gated admissibility evaluation; typed AASC construction under fixed scope,"ungated scope transport or modality laundering; unlicensed numerical fit, parameter import, or empirical value laundering",Preferred hardened version
ERK20260527-New_erk_files_May_35B594-THM-020,"Non-Degenerate Construction and the Kernel of Admissibility An Exhaustion Theorem for Standing, Reference, and Irreversibility",Theorem,Standing equals reuse-stable admissibility,"Let StandD be any predicate claimed to mark those evaluated acts on a fixed domain D that are eligible for standing-bearing continuation, commitment, or licensed reuse. Then for every act a ∈ D,",Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,"Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,kernel-consistent AASC deployment; closure-controlled downstream use; typed AASC construction under fixed scope,"Do not use outside fixed scope, as a free generator, or as an unlicensed cross-arc transport.",Preferred hardened version
ERK20260527-New_erk_files_May_FBEDF2-REM-002,Admissible Construction and the Non-Instantiability of Gödel Architectures,Remark,Why this is not mere syntax compression,"Theorem 4.1 is not the claim that syntax is impossible or uninteresting. It is the claim that, inside the fixed domain, syntactic or coding distinctions matter to closure only by functioning as hidden gate work, extensional gate renaming, or inert bookkeeping. A purely formal difference with no governance-relevant re-entry is therefore not a same-domain...",Closure / impossibility / exhaustion layer,"closure, exhaustion, impossibility, no-repair, no-generator, no-carrier control",,"Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.","Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.",interface-safe reconstruction; closure-controlled downstream use; gated admissibility evaluation; typed AASC construction under fixed scope,"ungated scope transport or modality laundering; primitive reification, compatibility-only promotion, or post-hoc repair",Preferred hardened version
ERK20260527-New_erk_files_May_AF0C6B-CRT-001,Claim Standing and Legitimacy A Universal Audit Protocol for Laundering Exclusion and Reportable Output,Criterion,Carrier Adequacy Test,"A carrier CarrierD (c) is standing-bearing for claim c at status class σ only if it satisfies all six tests below. 1. Target alignment. The carrier supports the same target asserted by c, not a proxy target or nearby conclusion. 2. Role adequacy. The carrier is the right kind of support for σ: proof for proof-status, measurement ledger for...",AI / epistemic-agent / governance layer,"AI claim standing, success-vs-truth, validator, agent instantiation, liability","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,"Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,kernel-consistent AASC deployment; closure-controlled downstream use; gated admissibility evaluation; typed AASC construction under fixed scope,"ungated scope transport or modality laundering; unlicensed numerical fit, parameter import, or empirical value laundering",Preferred hardened version
ERK20260527-New_erk_files_May_AF0C6B-DEF-003,Claim Standing and Legitimacy A Universal Audit Protocol for Laundering Exclusion and Reportable Output,Definition,Target role,"The target role of a claim is TargetD (c),",AI / epistemic-agent / governance layer,"AI claim standing, success-vs-truth, validator, agent instantiation, liability","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,,,kernel-consistent AASC deployment; gated admissibility evaluation,ungated scope transport or modality laundering,Preferred hardened version
ERK20260527-New_erk_files_May_C3E3B7-DEF-003,A Classification Theorem for Admissible Standard-Model Structures Uniqueness Under Standing-Preserving and Transport Constraints,Definition,Admissible bookkeeping structure,A pre-admissible structure B is admissible when it satisfies the locked AASC obligations relevant to this target: stable identity fixation on P/∼; output agreement under admitted tests; transport completeness for every licensed map in T ; preservation under admissible continuations in H; non-degeneracy of standing witnesses; no post-hoc repair of committed...,Numerical forcing / exactness layer,"numerical forcing, exactness, rigidity, mass-ratio, constant-readout, anchor-control layer","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.","Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.",kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; gated admissibility evaluation,"ungated scope transport or modality laundering; primitive reification, compatibility-only promotion, or post-hoc repair; unlicensed numerical fit, parameter import, or empirical value laundering",Preferred hardened version
ERK20260527-New_erk_files_May_2490B6-COR-003,"Admissibility and the Common Structural Origin of Gauge, Constraint, and Quantum Structure",Corollary,No residual same-scope refinement beneath tensor content,"If an auxiliary refinement leaves anchor data fixed and changes neither quotient physical content nor characteristic/redescription structure, it is skin. Any purported load-bearing use of such a refinement is bookkeeping or a disguised attempt to introduce a second same-scope classifier.",Constraint envelope / redescription layer,"constraint envelopes, scope, redescription, envelope non-contact, transport control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.",,,kernel-consistent AASC deployment; interface-safe reconstruction; gated admissibility evaluation; typed AASC construction under fixed scope,"ungated scope transport or modality laundering; unlicensed numerical fit, parameter import, or empirical value laundering",Preferred hardened version
